английский,русский,entrepreneurial,предпринимательский
английский,русский,nip,щипок
английский,русский,condescension,снисходительность
английский,русский,seemingly,по-видимому
русский,русский,мере,мере
английский,русский,convoluted,извилистый
английский,русский,repercussions,последствия
английский,русский,unbridled,разнузданный
английский,русский,sanity,вменяемость
английский,русский,perpetuates,увековечивает
английский,русский,exalts,возвышает
английский,русский,Ostensibly,Как будто бы
английский,русский,lament,стенать
английский,русский,elusive,неуловимый
английский,русский,sexagesimal,шестидесятеричный
английский,русский,crops,культуры
английский,русский,"harvest,","урожай,"
английский,русский,"commerce,","коммерции,"
английский,русский,ostensibly,как будто бы
английский,русский,impede,препятствующие
английский,русский,obscured.,затемняется.
английский,русский,overstated.,завышена.
английский,русский,falcons,соколы
английский,русский,craggy,скалистый
английский,русский,soar,витать
английский,русский,bluffs,обрывы
английский,русский,Otters,Выдры
английский,русский,propel,передвижение
английский,русский,kelp,ламинария
английский,русский,eelgrass,зостера
английский,русский,secluded,уединенный
английский,русский,congregation,конгрегация
английский,русский,glimpse,проблеск
английский,русский,orcas,касатки
английский,русский,jade,нефрит
английский,русский,slack,травить
английский,русский,cognizant,осведомленный
английский,русский,squander,разбазаривать
английский,русский,dispiriting.,удручающим.
английский,русский,wealthy,состоятельный
английский,русский,deprivation,лишение
английский,русский,clobbering,затирания
английский,русский,paws.,Лапы.
английский,русский,plunged.,погрузился.
английский,русский,exemplary,образцовый
английский,русский,equate,приравнивать
английский,русский,cumbersome.,громоздкий.
английский,русский,warp,деформироваться
английский,русский,haphazardly,наудачу
английский,русский,deliberately,сознательно
английский,русский,scrutinize,тщательно исследовать
английский,русский,"filched,","сперли,"
английский,русский,exacerbated,обостряется
английский,русский,insidious,коварный
английский,русский,appliances,бытовая техника
английский,русский,septic,септический
английский,русский,felled,срубленных
английский,русский,cedar,кедр
английский,русский,excavating,экскаватор
английский,русский,retrofitted,модернизированы
английский,русский,"unreinforced,","неармированные,"
английский,русский,demolition,снос
английский,русский,crumbling,рушатся
английский,русский,outbuilding,флигель
английский,русский,rafters,стропила
английский,русский,tear down,срывать
английский,русский,incredulously,недоверчиво
английский,русский,narrative,повествовательный
английский,русский,unglamorous.,непопулярный.
английский,русский,clogged,засоренный
английский,русский,intrinsic,свойственный
английский,русский,flourish.,процветать.
английский,русский,irritated,раздраженный
английский,русский,thwart,пресекать
английский,русский,"deposited,","депонированный,"
английский,русский,cranky,капризный
английский,русский,grouchy,ворчливый
английский,русский,crop up,возникать
английский,русский,relentless,неослабевающий
английский,русский,delinquent,правонарушитель
английский,русский,omission,упущение
английский,русский,notwithstanding,несмотря на
английский,русский,irrevocable,безотзывный
английский,русский,assert,утверждают
английский,русский,object to,Возражать
английский,русский,discretion,осмотрительность
английский,русский,commencement,начало
английский,русский,foregoing,вышеупомянутый
английский,русский,to the contrary,иначе
английский,русский,imply,подразумевать
английский,русский,deemed,наносящими
английский,русский,deem,Дим
английский,русский,conceive,зачать
английский,русский,inception,начало
английский,русский,therein,в нем
английский,русский,thereto,к этому
английский,русский,conduct,провести
английский,русский,liability,ответственность
английский,русский,conform,соответствовать
английский,русский,workmanlike,искусный
английский,русский,cunning,хитрость
английский,русский,disclaim,Отказ от ответственности
английский,русский,statute,статут
английский,русский,merchant,торговец
английский,русский,infringe,ущемлять
английский,русский,indemnity,контрибуция
английский,русский,pursuant,в соответствии
английский,русский,consent,согласие
английский,русский,juggernaut,Джаггернаут
английский,русский,indemnification,возмещение убытков
английский,русский,indemnify,возмещать
английский,русский,litigation,судебный процесс
английский,русский,contest,конкурс
английский,русский,substantially,по существу
английский,русский,punitive,карательный
английский,русский,consequential,логически вытекающий
английский,русский,bankruptcy,банкротство
английский,русский,insolvency,неплатежеспособность
английский,русский,receiverships,внешнее управление
английский,русский,survival,выживание
английский,русский,enforcement,правоприменение
английский,русский,merchantability,товарность
английский,русский,flare,вспышка
английский,русский,hygiene,гигиена
английский,русский,clause,пункт
английский,русский,promulgated,Обнародован
английский,русский,proliferation,пролиферация
английский,русский,lender,кредитор
английский,русский,trespassing,нарушение
английский,русский,superseded,вытеснены
английский,русский,contingent,контингент
английский,русский,venture,предприятие
английский,русский,grievances,жалобы
английский,русский,venue,место встречи
английский,русский,fork out,раскошелиться
английский,русский,cohesive,сплоченной
английский,русский,diminish,уменьшаются
английский,русский,detrimental,вредный
английский,русский,expedite,СРОЧНАЯ
английский,русский,stem,стебель
английский,русский,delusional,бредовый
английский,русский,inevitable,неизбежный
английский,русский,flourish,процветать
английский,русский,thriving,процветающий
английский,русский,shuffle,шарканье
английский,русский,half-heartedly,нерешительно
английский,русский,impediment,препятствие
английский,русский,blank stares,пустые взгляды
английский,русский,blank stare,пустой взгляд
английский,русский,denominator,знаменатель
английский,русский,hamper,Хампера
английский,русский,cackles,хохочет
английский,русский,delight,восторг
английский,русский,crevice,расщелина
английский,русский,sneak in,красться
английский,русский,heap,куча
английский,русский,lurk around,прячутся
английский,русский,lurk,таиться
английский,русский,subtly,тонко
английский,русский,fallacy,ошибочность
английский,русский,commute,ездить
английский,русский,grinding,шлифовка
английский,русский,perishable,скоропортящийся
английский,русский,apprehend,предчувствовать
английский,русский,comprehend,постигать
английский,русский,spatial,пространственный
английский,русский,mundane,мирской
английский,русский,compulsory,обязательное
английский,русский,reap,пожинать
английский,русский,alleviate,смягчать
английский,русский,ringleader,главарь
английский,русский,ambush,засада
английский,русский,exacerbate,усугубить
английский,русский,neglect,пренебрежение
английский,русский,stem the bleeding,остановить кровотечение
английский,русский,nimble,проворный
английский,русский,stove,плита
английский,русский,thrive,процветать
английский,русский,devastating,опустошая
английский,русский,snazzy,броский
английский,русский,grief,горе
английский,русский,"“out of sight, out of mind”","""С глаз долой, из сердца вон"""
английский,русский,persuasive,убедительный
английский,русский,pervasive,распространяющийся
английский,русский,conflate,объединять
английский,русский,vanity,тщеславие
английский,русский,loosely coupled,слабо связанный
английский,русский,meek,кроткий
английский,русский,commiseration,соболезнование
английский,русский,ponder,вдумайтесь
английский,русский,dodge,изворачиваться
английский,русский,chuckle,посмеиваться
английский,русский,cognitive bias,Когнитивное искажение
английский,русский,drain,сливной
английский,русский,abrupt,крутой
английский,русский,pit,яма
английский,русский,ruthless,беспощадный
английский,русский,cereal,зерновой
английский,русский,clobbered,затираемых
английский,русский,admonish,увещевать
английский,русский,camouflage,камуфляж
английский,русский,disguising,маскировка
английский,русский,wreak,сеять
английский,русский,wreak havoc,сеять хаос
английский,русский,arbitrary,произвольный
английский,русский,substantial,существенный
английский,русский,mock,издеваться
английский,русский,cackle,кудахтать
английский,русский,capitalize on,зарабатывать на
английский,русский,retrofit,модифицировать
английский,русский,gauge,калибр
английский,русский,elongate,удлиненный
английский,русский,juggle,жонглировать
английский,русский,grumble,ворчать
английский,русский,congregate,скопляться
английский,русский,terrified,ужас
английский,русский,shook,встряхнул
английский,русский,voice shook,голос дрогнул
английский,русский,pounding,удары
английский,русский,freight,грузовой
английский,русский,snappy,быстро
английский,русский,to hog,боров
английский,русский,mere,простой
английский,русский,dreadfully,ужасно
английский,русский,musings,размышления
английский,русский,rants,тирады
английский,русский,incite,подстрекают
английский,русский,visceral,висцеральный
английский,русский,jeopardize,подвергать опасности
английский,русский,deceptive,обманчивый
английский,русский,incentivize,стимулировать
английский,русский,begrudgingly,завистливо
английский,русский,garish,показной
английский,русский,cringing,низкопоклонство
английский,русский,veer off,отклоняться от курса
английский,русский,deduce,Выведите
русский,английский,Эпита́фия,Epitaph
русский,английский,патетический,pathetic
русский,английский,Схоластика,Scholasticism
